1570780844030,POST,757,200
1570780844030,POST,756,200
1570780844037,POST,750,200
1570780844040,POST,746,200
1570780844040,POST,747,200
1570780844041,POST,745,200
1570780844040,POST,746,200
1570780844041,POST,745,200
1570780844041,POST,745,200
1570780844037,POST,749,200
1570780844030,POST,756,200
1570780844030,POST,756,200
1570780844028,POST,758,200
1570780844028,POST,758,200
1570780844037,POST,749,200
1570780844041,POST,759,200
1570780844041,POST,764,200
1570780844030,POST,776,200
1570780844040,POST,766,200
1570780844040,POST,766,200
1570780844031,POST,844,200
1570780844040,POST,838,200
1570780844030,POST,848,200
1570780844041,POST,842,200
1570780844041,POST,843,200
1570780844030,POST,853,200
1570780844790,POST,98,200
1570780844789,POST,99,200
1570780844030,POST,859,200
1570780844790,POST,99,200
1570780844789,POST,100,200
1570780844789,POST,105,200
1570780844030,POST,864,200
1570780844041,POST,855,200
1570780844789,POST,107,200
1570780844800,POST,96,200
1570780844041,POST,855,200
1570780844789,POST,111,200
1570780844805,POST,95,200
1570780844789,POST,115,200
1570780844030,POST,939,200
1570780844039,POST,930,200
1570780844028,POST,941,200
1570780844884,POST,88,200
1570780844041,POST,931,200
1570780844041,POST,932,200
1570780844889,POST,88,200
1570780844037,POST,940,200
1570780844040,POST,937,200
1570780844041,POST,937,200
1570780844030,POST,948,200
1570780844030,POST,953,200
1570780844896,POST,87,200
1570780844030,POST,953,200
1570780844030,POST,957,200
1570780844037,POST,950,200
1570780844896,POST,91,200
1570780844030,POST,958,200
1570780844040,POST,948,200
1570780844041,POST,951,200
1570780844972,POST,86,200
1570780844029,POST,1029,200
1570780844041,POST,1017,200
1570780844969,POST,89,200
1570780844972,POST,91,200
1570780844030,POST,1033,200
1570780844977,POST,94,200
1570780844040,POST,1031,200
1570780844978,POST,93,200
1570780844978,POST,94,200
1570780844037,POST,1035,200
1570780844041,POST,1031,200
1570780844983,POST,90,200
1570780844037,POST,1036,200
1570780844040,POST,1033,200
1570780844988,POST,91,200
1570780844030,POST,1049,200
1570780844988,POST,91,200
1570780844031,POST,1049,200
1570780844029,POST,1051,200
